ticker,address,decimals
STORJ,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,8
SALT,0x4156d3342d5c385a87d264f90653733592000581,8
RARI,0xfca59cd816ab1ead66534d82bc21e7515ce441cf,18
pBTC,0x5228a22e72ccc52d415ecfd199f99d0665e7733b,18
SRM,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,6
NIOX,0xc813ea5e3b48bebeedb796ab42a30c5599b01740,4
FNT,0xdc5864ede28bd4405aa04d93e05a0531797d9d59,6
YAM,0x0aacfbec6a24756c20d41914f2caba817c0d8521,18
ADX,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,18
CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,18
RING,0x9469d013805bffb7d3debe5e7839237e535ec483,18
CTSI,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,18
LAYER,0x0ff6ffcfda92c53f615a4a75d982f399c989366b,18
TRAC,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,18
USDN,0x674c6ad92fd080e4004b2312b45f796a192d27a0,18
PRQ,0x362bc847a3a9637d3af6624eec853618a43ed7d2,18
HAKKA,0x0e29e5abbb5fd88e28b2d355774e73bd47de3bcd,18
CVP,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,18
OPT,0x4fe5851c9af07df9e5ad8217afae1ea72737ebda,18
SUSHI,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,18
DSLA,0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe,18
SWFL,0xba21ef4c9f433ede00badefcc2754b8e74bd538a,18
FSW,0xfffffffff15abf397da76f1dcc1a1604f45126db,18
MXX,0x8a6f3bf52a26a21531514e23016eeae8ba7e7018,8
yUSD,0x5dbcf33d8c2e976c6b560249878e6f1491bca25c,18
STEP,0x50026ad58b338cf3eccc2b422deb8faa725f377f,8
DPI,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,18
GHST,0x3f382dbd960e3a9bbceae22651e88158d2791550,18
UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18
PICKLE,0x429881672b9ae42b8eba0e26cd9c73711b891ca5,18
FRONT,0xf8c3527cc04340b208c854e985240c02f7b7793f,18
FARM,0xa0246c9032bc3a600820415ae600c6388619a14d,18
GOF,0x488e0369f9bc5c40c002ea7c1fe4fd01a198801c,18
OUSD,0x2a8e1e676ec238d8a992307b495b45b3feaa5e86,18
AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18
DODO,0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,18
SHAKE,0x6006fc2a849fedaba8330ce36f5133de01f96189,18
MILK2,0x80c8c3dcfb854f9542567c8dac3f44d709ebc1de,18
CORE,0x62359ed7505efc61ff1d56fef82158ccaffa23d7,18
PERP,0xbc396689893d065f41bc2c6ecbee5e0085233447,18
mUSD,0xe2f2a5c287993345a840db3b0845fbc70f5935a5,18
ZEE,0x2edf094db69d6dcd487f1b3db9febe2eec0dd4c5,18
HEGIC,0x584bc13c7d411c00c01a62e8019472de68768430,18
ASTRO,0xcbd55d4ffc43467142761a764763652b48b969ff,18
AMP,0xff20817765cb7f73d4bde2e66e067e58d11095c2,18
BOND,0x0391d2021f89dc339f60fff84546ea23e337750f,18
ANT,0xa117000000f279d81a1d3cc75430faa017fa5a2e,18
FUSE,0x970b9bb2c0444f5e81e9d0efb84c8ccdcdcaf84d,18
KP3R,0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44,18
VOICE,0x2e2364966267b5d7d2ce6cd9a9b5bd19d9c7c6a9,18
HEZ,0xeef9f339514298c6a857efcfc1a762af84438dee,18
SURF,0xea319e87cf06203dae107dd8e5672175e3ee976c,18
wANATHA,0x3383c5a8969dc413bfddc9656eb80a1408e4ba20,18
AUDIO,0x18aaa7115705e8be94bffebde57af9bfc265b998,18
INDEX,0x0954906da0bf32d5479e25f46056d22f08464cab,18
APY,0x95a4492f028aa1fd432ea71146b433e7b4446611,18
GYSR,0xbea98c05eeae2f3bc8c3565db7551eb738c8ccab,18
KP4R,0xa89ac6e529acf391cfbbd377f3ac9d93eae9664e,18
AXS,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,18
Yf-DAI,0xf4cd3d3fda8d7fd6c5a500203e38640a70bf9577,18
POLS,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,18
RFuel,0xaf9f549774ecedbd0966c52f250acc548d3f36e5,18
UFT,0x0202be363b8a4820f3f4de7faf5224ff05943ab1,18
LGCY,0xae697f994fc5ebc000f8e22ebffee04612f98a0d,18
$ROPE,0x9d47894f8becb68b9cf3428d256311affe8b068b,18
PLOT,0x72f020f8f3e8fd9382705723cd26380f8d0c66bb,18
KEN,0x6a7ef4998eb9d0f706238756949f311a59e05745,18
Nsure,0x20945ca1df56d237fd40036d47e866c7dccd2114,18
SFI,0xb753428af26e81097e7fd17f40c88aaa3e04902c,18
MPH,0x8888801af4d980682e47f1a9036e589479e835c5,18
eXRD,0x6468e79a80c0eab0f9a2b574c8d5bc374af59414,18
BOOST,0x3e780920601d61cedb860fe9c4a90c9ea6a35e78,18
DF,0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0,18
NU,0x4fe83213d56308330ec302a8bd641f1d0113a4cc,18
QRX,0x6e0dade58d2d89ebbe7afc384e3e4f15b70b14d8,18
VAL,0xe88f8313e61a97cec1871ee37fbbe2a8bf3ed1e4,18
API3,0x0b38210ea11411557c13457d4da7dc6ea731b88a,18
BAC,0x3449fc1cd036255ba1eb19d65ff4ba2b8903a69a,18
PIPT,0x26607ac599266b21d13c7acf7942c7701a8b699c,18
BASE,0x07150e919b4de5fd6a63de1f9384828396f25fdc,9
BONDLY,0x91dfbee3965baaee32784c2d546b7a0c62f268c9,18
NEXO,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,18
aAAVE,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,18
aBAT,0x05ec93c0365baaeabf7aeffb0972ea7ecdd39cf1,18
aBUSD,0xa361718326c15715591c299427c62086f69923d9,18
aDAI,0x028171bca77440897b824ca71d1c56cac55b68a3,18
aENJ,0xac6df26a590f08dcc95d5a4705ae8abbc88509ef,18
aKNC,0x39c6b3e42d6a679d7d776778fe880bc9487c2eda,18
aLINK,0xa06bc25b5805d5f8d82847d191cb4af5a3e873e0,18
aMANA,0xa685a61171bb30d4072b338c80cb7b2c865c873e,18
aMKR,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,18
aREN,0xcc12abe4ff81c9378d670de1b57f8e0dd228d77a,18
aSNX,0x35f6b052c598d933d69a4eec4d04c73a191fe6c2,18
aSUSD,0x6c5024cd4f8a59110119c56f8933403a539555eb,18
aTUSD,0x101cc05f4a51c0319f570d5e146a8c625198e636,18
aUNI,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,18
aUSDC,0xbcca60bb61934080951369a648fb03df4f96263c,6
aUSDT_1,0x3ed3b47dd13ec9a98b44e6204a523e766b225811,6
aWBTC,0x9ff58f4ffb29fa2266ab25e75e2a8b3503311656,8
aWETH,0x030ba81f1c18d280636f32af80b9aad02cf0854e,18
aYFI,0x5165d24277cd063f5ac44efd447b27025e888f37,18
aZRX,0xdf7ff54aacacbff42dfe29dd6144a69b629f8c9e,18
UTK,0xdc9ac3c20d1ed0b540df9b1fedc10039df13f99c,18
POND,0x57b946008913b82e4df85f501cbaed910e58d26c,18
OMv2,0x3593d125a4f7849a1b059e64f4517a86dd60c95d,18
FXS,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,18
1INCH,0x111111111117dc0aa78b770fa6a738034120c302,18
MIC,0x368b3a58b5f49392e5c9e4c998cb0bb966752e51,18
WOZX,0x34950ff2b487d9e5282c5ab342d08a2f712eb79f,18
FOX,0xc770eefad204b5180df6a14ee197d99d808ee52d,18
WISE,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,18
COMBO,0xffffffff2ba8f66d4e51811c5190992176930278,18
FET,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,18
PHA,0x6c5ba91642f10282b576d91922ae6448c9d52f4e,18
pBTC35A,0xa8b12cc90abf65191532a12bb5394a714a46d358,18
FRAX,0x853d955acef822db058eb8505911ed77f175b99e,18
INJ,0xe28b3b32b6c345a34ff64674606124dd5aceca30,18
YLD_APP,0xf94b5c5651c888d928439ab6514b93944eee6f48,18
CFi,0x63b4f3e3fa4e438698ce330e365e831f7ccd1ef4,18
RGT,0xd291e7a03283640fdc51b121ac401383a46cc623,18
NFTX,0x87d73e916d7057945c9bcd8cdd94e42a6f47f776,18
SDT,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,18
DEBASE,0x9248c485b0b80f76da451f167a8db30f33c70907,18
ANKR,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,18
DIP_Insurance,0xc719d010b63e5bbf2c0551872cd5316ed26acd83,18
RUNE,0x3155ba85d5f96b2d030a4966af206230e46849cb,18
BAO,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,18
REEF,0xfe3e6a25e6b192a42a44ecddcd13796471735acf,18
TRU,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,8
MARK,0x67c597624b17b16fb77959217360b7cd18284253,9
ZERO,0xf0939011a9bb95c3b791f0cb546377ed2693a574,18
ORAI,0x4c11249814f11b9346808179cf06e71ac328c1b5,18
SPC,0x86ed939b500e121c0c5f493f399084db596dad20,18
RAMP,0x33d0568941c0c64ff7e0fb4fba0b11bd37deed9f,18
STBZ,0xb987d48ed8f2c468d52d6405624eadba5e76d723,18
INFI,0x159751323a9e0415dd3d6d42a1212fe9f4a0848c,18
CRO,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,8
LYXe,0xa8b919680258d369114910511cc87595aec0be6d,18
TVK,0xd084b83c305dafd76ae3e1b4e1f1fe2ecccb3988,18
DIGG,0x798d1be841a82a273720ce31c822c61a67a601c3,9
ALPHA,0xa1faa113cbe53436df28ff0aee54275c13b40975,18
CUDOS,0x817bbdbc3e8a1204f3691d14bb44992841e3db35,18
